class,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1,80960,6575,4746,4746,6197,949,757,11638
1,30533,7151,2910,2910,2764,5578,796,18886
1,15361,26549,6016,6016,1514,2399,736,10823
1,61677,34215,9844,9844,13003,1570,1155,12174
1,166722,35517,17795,17795,3564,3147,2874,12597
1,136910,24239,7189,7189,9773,3717,1134,15048
1,47294,39910,7977,7977,12858,5976,3901,7065
1,1767114,193547,78509,78509,51936,33252,6758,5038
1,2069658,118859,65494,65494,36159,30248,5488,35267
1,97842,51339,161,161,7099,5487,575,6107
1,16977,16968,4942,4942,6854,1335,1198,9446
1,906308,36899,5762,5762,5511,3278,767,7345
1,250770,24664,8259,8259,2313,1584,2172,10709
1,134137,25868,11937,11937,22085,7969,3025,47796
1,9452,2829,6440,6440,3458,4843,459,8045
1,33043,8318,3792,3792,6366,2227,715,9609
1,537381,37516,14936,14936,28728,14512,3376,50796
1,854152,14096,49101,49101,39728,17868,13552,24816
1,594750,56515,27617,27617,7123,4849,3011,11354
1,1164320,297716,19789,19789,31839,14881,18210,20861
1,202476,13566,3437,3437,9670,3635,1579,8080
1,2048474,98426,35612,35612,12774,19531,1414,9176
1,194304,33169,11529,11529,5727,4968,2627,11548
1,1102290,115619,28550,28550,5474,25116,6975,29948
1,213492,9409,4845,4845,4861,3844,1268,9183
1,6903,12763,9146,9146,3230,2874,1414,6785
1,56067,8114,997,997,11479,1233,528,11695
1,25872,19715,10018,10018,2808,3700,445,8463
1,39991,52835,18823,18823,11971,13810,2729,36025
1,25741,11859,4681,4681,6453,6384,1126,7862
1,30788,71565,9498,9498,4551,8832,3623,33126
1,691629,30862,22770,22770,8048,28329,2857,27507
1,27250,2592,13572,13572,3820,3471,1025,6937
1,52498,78878,5913,5913,30036,13192,2201,26044
1,93008,12930,4983,4983,10035,4705,1814,8373
1,23590,10463,4276,4276,3806,3044,858,6841
1,318625,115469,35689,35689,17195,4013,689,7825
1,1485763,76459,17251,17251,8223,10931,2353,1559
1,8659,12094,6590,6590,5490,3669,830,1148
1,502554,41286,1992,1992,6217,2538,1070,660
1,967512,147938,16948,16948,21750,32105,4692,3557
1,59952,4760,1311,1311,831,1009,274,955
1,4814,6714,2948,2948,4822,2114,1326,8646
1,192205,59579,15338,15338,4889,1971,1191,9706
1,121631,25402,45846,45846,8562,15984,3408,29505
1,60008,38524,30511,30511,3127,4143,978,10181
1,229917,183063,39624,39624,12227,13576,3025,11594
1,62269,15866,131,131,5507,3738,583,11305
1,62609,10196,1643,1643,2872,2690,1023,13041
1,6090,5303,1183,1183,1997,2255,931,9098
1,595144,216359,32604,32604,12049,13986,2886,28379
1,63583,22566,20723,20723,7151,8640,2427,4546
1,302674,23970,13015,13015,3868,3900,968,4783
1,41773,20049,5867,5867,5489,2818,801,5575
1,173001,44847,820,820,5146,2350,321,8065
1,1554494,263288,100226,100226,29914,39797,2954,18035
1,10041,14714,7182,7182,2638,4571,1140,9086
1,1740029,228439,112074,112074,36300,27515,7491,22851
1,1344279,151828,7352,7352,32165,8647,11714,40627
1,100923,48588,2556,2556,4583,3639,338,8411
1,35926,79647,13555,13555,16374,9800,3023,24452
1,106961,24204,4261,4261,3009,1280,992,8548
1,85655,13096,12670,12670,5950,3580,2510,5466
1,79822,42095,7286,7286,1342,2243,582,5948
1,13442,15023,3720,3720,2116,3803,445,8168
1,26546,18063,3229,3229,1428,1476,958,6956
1,620957,36466,74580,74580,16096,14316,2349,3409
1,204603,53722,21699,21699,12568,1473,1023,8003
1,49197,32941,12549,12549,7287,2797,1532,7309
1,137739,127945,46543,46543,5430,7062,2329,22384
1,8099,8073,2229,2229,3103,3784,855,5215
1,92564,35004,9776,9776,4841,4078,1004,5980
1,944625,104225,76731,76731,25436,7972,2934,30059
1,209562,19281,7579,7579,6634,5059,1642,4448
1,173168,49638,6933,6933,4397,2460,1388,7742
1,139975,165108,39456,39456,15555,4117,10321,29197
1,502385,50665,6737,6737,4135,5367,541,6669
1,2007588,115267,18216,18216,18976,7851,2254,7773
1,118755,27446,2757,2757,2646,1056,1375,4802
1,10135,12961,3252,3252,1593,4295,845,6414
1,36152,31805,7144,7144,3151,2295,1739,9132
1,348072,65820,11217,11217,2945,4895,2049,6134
1,43614,17178,4848,4848,310,1286,354,1165
1,25264,24421,6396,6396,4881,1580,1781,6366
1,142799,9761,6974,6974,4637,1989,4211,6728
1,1386714,582246,32374,32374,100293,45073,166988,96506
1,1294107,76009,9971,9971,25186,19251,25520,26116
1,1581329,359516,38233,38233,53329,44485,74204,26941
1,1181632,177946,31761,31761,29886,15544,26170,42128
1,756610,53825,6792,6792,15521,8432,2885,2756
1,1231431,114919,24172,24172,18879,15498,10069,26784
1,21356,6749,4930,4930,5799,2578,1284,8207
1,389640,34794,19616,19616,44416,17542,9459,27930
1,128364,6058,4905,4905,1731,2055,936,5725
1,310804,96720,17433,17433,3421,1618,2139,4114
1,2745,1319,8896,8896,2247,2453,1020,5402
1,7544,9993,3252,3252,789,6195,1054,5247
1,11854,2313,7860,7860,5354,2897,1368,5940
1,1252934,63302,25944,25944,10310,10362,8647,23852
1,14212,3965,7840,7840,3433,1241,830,4533
1,16525,5275,11644,11644,2930,3293,574,9413
1,185747,101692,11399,11399,5572,12488,886,3751
1,1493198,106445,21704,21704,14239,4778,2207,4321
1,74710,43695,8430,8430,2899,2354,738,7799
1,44792,8179,1194,1194,2471,1569,229,1387
1,194721,30804,1028,1028,3737,2453,362,1566
1,954664,157479,100538,100538,31301,39973,3266,27445
1,82286,27748,6602,6602,7219,1507,911,6100
1,151296,26530,7429,7429,12591,4315,2723,4972
1,1117053,305607,3955,3955,92116,29071,5548,10268
1,1461989,125928,36308,36308,12603,8495,5046,18189
1,54330,28331,8559,8559,6010,4610,1489,4067
1,121934,56364,7645,7645,4548,2799,711,7370
1,2177935,153135,93398,93398,37562,37587,2841,9029
1,53374,16230,2525,2525,812,675,414,1465
1,36699,12852,6983,6983,3258,1225,674,7202
1,283938,67117,17570,17570,7183,3737,1107,5283
1,24187,20494,12446,12446,1420,5187,2208,6499
1,960,2904,5617,5617,9436,1960,907,4214
1,17737,4023,286,286,2207,1706,609,4835
1,103061,21788,3848,3848,1113,797,396,1755
1,32788,8854,2407,2407,940,520,194,1740
1,23621,12395,4186,4186,3541,4578,993,5607
1,88875,44944,4599,4599,12936,4560,1116,4098
1,231757,4919,5408,5408,7561,1699,794,5241
1,57824,28840,2143,2143,2624,2068,445,3418
1,988411,298674,96376,96376,24845,7822,4080,18924
1,133000,23064,3414,3414,1933,2836,592,1093
1,56423,1511,7220,7220,1196,2650,400,4845
1,3422,21491,939,939,2898,2066,1949,6749
1,178640,23847,6167,6167,4947,2141,1812,5912
1,74910,28496,5731,5731,10228,4549,519,7575
1,10761,3924,6571,6571,4493,3388,1100,6062
1,235234,32128,7127,7127,6804,5778,932,7608
1,64053,82022,16968,16968,35092,7365,7234,25777
1,35853,31866,870,870,4137,3058,1215,6553
1,21682,9307,1739,1739,2636,2126,524,4465
1,4132,6709,1620,1620,3332,5737,711,5434
1,6715,2935,10255,10255,9149,3879,452,6138
1,18531,9635,27298,27298,9520,1947,1725,5020
1,60591,22197,7712,7712,1322,1660,311,1640
1,104688,34565,4268,4268,9135,3621,1361,18543
1,9628,5127,4417,4417,2325,2668,497,4787
1,4422,8114,4591,4591,1903,2213,1843,3891
1,25330,91183,10202,10202,13397,3814,1109,3254
1,1957460,83309,13995,13995,19172,8054,3141,9898
1,58337,6022,589,589,1579,855,150,1087
1,45631,8035,8735,8735,5173,1435,879,3439
1,11692,4360,922,922,2516,1980,723,4945
1,7137,1805,4231,4231,4294,5078,1217,5512
1,38096,14690,7305,7305,762,2342,1024,3988
1,84030,44969,2294,2294,4281,1962,1244,2727
1,8950,11790,7347,7347,2968,2662,790,5071
1,216343,45458,1490,1490,3592,2422,723,4186
1,33315,44934,10417,10417,6040,3505,471,7743
1,98823,30957,7046,7046,5061,2678,786,3775
1,3731916,543799,33271,33271,15749,29531,5904,18882
1,106353,6712,1216,1216,647,397,123,342
1,439230,136335,9061,9061,41618,13392,8772,34560
1,354879,17228,12072,12072,5148,1845,4982,3635
1,170031,51190,8850,8850,1239,1775,1472,9457
1,21296,7578,4704,4704,3083,3573,780,8177
1,1031004,51912,6767,6767,25438,18341,3926,44671
1,301550,159043,42474,42474,12189,1995,5169,4653
1,13306,5547,5137,5137,3613,3396,743,743
1,24181,42939,1941,1941,3164,3398,498,647
1,1603,2427,1931,1931,1499,4249,629,393
1,2547,3365,1560,1560,3810,2175,782,694
1,12965,8208,100,100,3470,2967,765,611
1,2352,2914,2557,2557,2015,1383,541,471
1,3677,2545,8723,8723,6093,4218,668,1029
1,1475593,313330,91893,91893,12764,5167,4280,4318
1,89074,43736,40640,40640,9723,14371,5460,8248
1,65456,33298,32280,32280,7874,1563,1424,654
1,2291634,98225,3021,3021,9167,7713,1388,902
1,17724,17714,454,454,2054,4458,1076,455
1,10414,12308,9328,9328,5421,1950,809,1127
1,1452,7292,10007,10007,4234,1804,707,521
1,3728,3164,9379,9379,2309,1770,698,430
1,259856,117367,4813,4813,6834,12922,4082,1693
1,3494,8244,632,632,1014,2562,376,376
1,3248,4177,2952,2952,3941,1370,501,400
1,1650,1138,1111,1111,1691,4100,696,689
1,2578,4803,2835,2835,3248,1766,880,992
1,2470,2889,8128,8128,3795,1582,267,231
1,2593,1892,12588,12588,9132,3695,588,333
1,11678,3901,5066,5066,2628,2727,670,471
1,3190,4020,1317,1317,1095,1299,859,329
1,4374,1680,4266,4266,2777,2359,282,486
1,45833,24946,1836,1836,2934,2683,1040,880
1,15889,6163,1191,1191,3794,3023,541,458
1,2555,10480,4401,4401,2142,1766,883,367
1,1566,8167,14287,14287,3325,2697,1238,368
1,2876,17770,3144,3144,6664,3801,385,361
1,1229,11475,3320,3320,7011,2143,1047,277
1,2977,7913,948,948,1864,1572,951,328
1,812823,191310,4602,4602,16083,9682,5233,1845
1,4112,7827,12394,12394,2832,3314,300,436
1,585955,98931,15628,15628,13332,5637,4799,1646
1,34046,52148,2786,2786,4776,2413,763,565
1,2027,4017,1114,1114,2234,2235,928,184
1,3278,13685,22017,22017,4084,4681,901,499
1,1873,7642,6293,6293,3225,3320,591,764
1,66550,30031,5657,5657,3392,1170,909,223
1,663206,40811,6447,6447,17657,7937,2136,669
1,39679,3070,7668,7668,3436,3453,408,530
1,12919,12691,3338,3338,5842,1542,842,1080
1,430783,82052,21727,21727,24882,3377,2144,1371
1,156747,75450,1692,1692,5537,4426,3392,1510
1,552977,13098,16420,16420,3286,4751,3609,4213
1,1701716,13506,13155,13155,6485,6767,2698,5414
1,8106,5655,17435,17435,783,2587,1021,1031
1,6800,5611,3431,3431,6385,5856,945,321
1,14305,8417,2125,2125,4563,2283,2005,840
1,11442,9754,9750,9750,7693,2905,497,347
1,1701,11611,3598,3598,3824,2163,620,301
1,89409,23737,427,427,2993,2300,601,518
1,309,7622,9007,9007,1434,1939,606,561
1,2945,6431,4341,4341,2607,3243,947,997
1,3081,9099,1778,1778,3007,1490,739,800
1,4750,6771,18789,18789,4609,2291,377,358
1,6753,3819,384,384,3203,1828,709,366
1,1954,1027,3073,3073,2598,1512,534,634
1,4826,2796,517,517,5645,1993,417,766
1,4863,5742,24285,24285,3840,2851,538,803
1,2900,21577,2577,2577,3348,6965,386,945
1,7501,9285,4204,4204,4538,5445,124,396
1,8498,3809,2992,2992,4001,2101,780,708
1,5188,6979,343,343,3093,2128,408,410
1,2197,3350,1768,1768,1724,1861,338,282
1,7301,5162,2157,2157,5508,1484,809,659
1,107084,10885,4031,4031,3368,1076,775,763
1,1631,1832,2084,2084,2340,2149,606,399
1,3757,3676,5380,5380,4111,2828,698,565
1,1747,7332,1645,1645,1808,2369,954,934
1,5033,3745,4515,4515,4865,5206,883,422
1,5846,5780,1684,1684,2327,1193,343,330
1,3520,4901,7366,7366,3372,1333,400,541
1,278306,44514,37325,37325,44348,18933,4809,9302
1,1436378,275102,35457,35457,15936,14794,5809,1558
1,11895,7149,4919,4919,5386,2494,879,294
1,3652,8528,6951,6951,3796,1632,290,505
1,3341,22380,6796,6796,3429,2624,649,348
1,3284,7698,5431,5431,3804,3249,504,755
1,5735,3999,3762,3762,6979,2274,869,325
1,4047,9561,5736,5736,843,1468,693,498
1,4497,6831,4540,4540,1846,2397,479,469
1,6825,3930,4393,4393,2151,5358,665,265
1,12619,4536,1059,1059,4484,1979,667,465
1,97413,9314,346,346,574,208,56,28
1,2670,5757,5757,5757,4506,2118,310,755
1,5268,13103,4478,4478,3057,3664,865,659
1,6124,7791,14884,14884,9620,3803,236,675
1,11171,5226,259,259,6702,3662,220,312
1,4529,18595,10172,10172,3520,1366,1000,783
1,15307,11417,1260,1260,4218,2592,1125,1016
1,24430,3917,926,926,3088,2129,421,324
1,7929,8560,1451,1451,5956,2105,639,493
1,2469,8271,10277,10277,8385,4319,358,343
1,11670,9488,10705,10705,2793,2166,839,1074
1,24296,15146,7256,7256,2623,2338,653,818
1,8118,5153,3305,3305,5237,5233,1138,1013
1,7535,11845,7705,7705,5720,1527,772,434
1,12006,40396,4267,4267,2854,4083,769,816
1,133123,78966,12046,12046,6204,5339,752,1445
1,7046,12257,11618,11618,2676,3501,476,484
1,8905,5596,6968,6968,2894,3748,905,408
1,180037,146207,17371,17371,7611,7595,4670,1976
1,165211,7144,1859,1859,1625,757,483,288
1,36526,7174,3085,3085,7649,3898,692,886
1,5917,4364,3525,3525,14728,3229,684,1603
1,6933,4573,3398,3398,2340,3672,897,466
1,17399,14602,14773,14773,5129,2742,588,298
1,10522,9557,5679,5679,5159,1759,466,656
1,93670,58989,8348,8348,11422,4414,701,836
1,8226,8668,550,550,1928,2223,267,493
1,26852,15651,6743,6743,1337,3158,780,1449
1,188287,12901,1601,1601,1765,354,195,176
1,1053,7316,3016,3016,2940,4840,945,574
1,37591,86412,10476,10476,3806,1530,481,788
1,10641,4694,2013,2013,2511,1717,426,401
1,7131,17266,7246,7246,4694,1651,536,306
1,14094,6130,4612,4612,832,1891,455,420
1,4214,4470,1077,1077,3155,2378,963,589
1,27152,12306,132,132,2023,1579,562,902
1,1441,3732,3093,3093,1396,2374,654,1075
1,260320,31280,9631,9631,6701,15940,3381,7499
1,39655,6113,314,314,1446,684,160,154
1,54652,28767,7455,7455,3665,3888,862,356
1,3896,4434,3029,3029,4851,4482,325,257
1,4763,5385,5601,5601,3549,1363,929,1444
1,5179,2974,10932,10932,2665,8644,478,348
1,6220,8079,21274,21274,7256,1392,811,803
1,2404,13828,6299,6299,796,1519,381,322
1,3716,14201,10324,10324,7600,2900,651,413
1,45828,19414,3998,3998,3070,3816,907,676
1,3330,15859,4234,4234,3613,2293,519,866
1,9494,17855,2873,2873,3509,1126,376,625
1,1546,8476,4388,4388,2131,3145,623,700
1,111032,7805,2579,2579,5283,2980,400,543
